Time,xAcceleration,yAcceleration,zAcceleration,xSMA(20 seconds), xSMA(100 seconds),ySMA(20 seconds),ySMA(100 seconds),zSMA(20 seconds),zSMA(100 seconds)
1554664286970,-0.253,3.592,9.189,-0.253,-0.253,3.592,3.592,9.189,9.189
1554664287171,-0.648,3.251,9.265,-0.4505,-0.4505,3.4215,3.4215,9.227,9.227
1554664287376,-0.91,2.712,9.543,-0.603667,-0.603667,3.185,3.185,9.33233,9.33233
1554664287581,-1.162,2.555,9.629,-0.74325,-0.74325,3.0275,3.0275,9.4065,9.4065
1554664287779,-0.933,3.242,9.172,-0.7812,-0.7812,3.0704,3.0704,9.3596,9.3596
1554664287989,-0.508,3.828,8.708,-0.735667,-0.735667,3.19667,3.19667,9.251,9.251
1554664288187,-1.155,4.463,9.123,-0.795571,-0.795571,3.37757,3.37757,9.23271,9.23271
1554664288391,-0.978,4.003,8.612,-0.818375,-0.818375,3.45575,3.45575,9.15512,9.15512
1554664288589,0.178,3.438,8.912,-0.707667,-0.707667,3.45378,3.45378,9.12811,9.12811
1554664288800,-0.242,1.537,10.345,-0.6611,-0.6611,3.2621,3.2621,9.2498,9.2498
1554664289000,-0.789,1.618,9.52,-0.672727,-0.672727,3.11264,3.11264,9.27436,9.27436
1554664289199,-0.953,1.415,10.003,-0.696083,-0.696083,2.97117,2.97117,9.33508,9.33508
1554664289408,-1.28,1.545,9.62,-0.741,-0.741,2.86146,2.86146,9.357,9.357
1554664289602,-0.635,1.987,9.705,-0.733429,-0.733429,2.799,2.799,9.38186,9.38186
1554664289806,-0.189,1.735,9.526,-0.697133,-0.697133,2.72807,2.72807,9.39147,9.39147
1554664290012,-0.336,1.685,9.664,-0.674562,-0.674562,2.66288,2.66288,9.4085,9.4085
1554664290213,-0.6,1.596,9.915,-0.670176,-0.670176,2.60012,2.60012,9.43829,9.43829
1554664290415,-0.925,2.103,9.434,-0.684333,-0.684333,2.5725,2.5725,9.43806,9.43806
1554664290615,-0.669,2.457,9.52,-0.683526,-0.683526,2.56642,2.56642,9.44237,9.44237
1554664290819,-0.644,2.397,9.628,-0.68155,-0.68155,2.55795,2.55795,9.45165,9.45165
1554664291023,-0.606,2.618,9.446,-0.6992,-0.677952,2.50925,2.56081,9.4645,9.45138
1554664291225,-0.456,2.441,9.557,-0.6896,-0.667864,2.46875,2.55536,9.4791,9.45618
