Time,xAcceleration,yAcceleration,zAcceleration,xSMA(2.5 seconds),xSMA(10 seconds),ySMA(2.5 seconds),ySMA(10 seconds),zSMA(2.5 seconds),zSMA(10 seconds),minX(10 seconds),maxX(10 seconds),minY(10 seconds),maxY(10 seconds),minZ(10 seconds),maxZ(10 seconds)
1554663317889,-5.135,7.416,3.987,-5.135,-5.135,7.416,7.416,3.987,3.987,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663317929,-5.008,7.575,3.912,-5.0715,-5.0715,7.4955,7.4955,3.9495,3.9495,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663318010,-4.743,7.598,4.138,-4.962,-4.962,7.52967,7.52967,4.01233,4.01233,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663318091,-5.168,7.384,3.782,-5.0135,-5.0135,7.49325,7.49325,3.95475,3.95475,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663318133,-4.944,7.415,4.177,-4.9996,-4.9996,7.4776,7.4776,3.9992,3.9992,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663318213,-4.712,7.506,4.653,-4.95167,-4.95167,7.48233,7.48233,4.10817,4.10817,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663318300,-4.54,7.386,4.531,-4.89286,-4.89286,7.46857,7.46857,4.16857,4.16857,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663318339,-4.938,7.058,4.696,-4.8985,-4.8985,7.41725,7.41725,4.2345,4.2345,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663318416,-4.343,7.27,4.786,-4.83678,-4.83678,7.40089,7.40089,4.29578,4.29578,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663318498,-3.581,7.145,6.119,-4.7112,-4.7112,7.3753,7.3753,4.4781,4.4781,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663318537,-3.012,7.08,6.215,-4.55673,-4.55673,7.34845,7.34845,4.636,4.636,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663318619,-3.136,5.799,7.585,-4.43833,-4.43833,7.21933,7.21933,4.88175,4.88175,-5.168,-2.558,5.799,7.598,3.782,7.585
1554663318659,-3.321,6.443,6.925,-4.35238,-4.35238,7.15962,7.15962,5.03892,5.03892,-5.168,-2.558,5.799,7.598,3.782,7.585
