Time,xAcceleration,yAcceleration,zAcceleration,xSMA(20 seconds), xSMA(100 seconds),ySMA(20 seconds),ySMA(100 seconds),zSMA(20 seconds),zSMA(100 seconds)
1554682903904,0.095,6.22,7.622,0.095,0.095,6.22,6.22,7.622,7.622
1554682904105,-0.096,6.148,7.774,-0.0005,-0.0005,6.184,6.184,7.698,7.698
1554682904310,-0.205,6.217,7.609,-0.0686667,-0.0686667,6.195,6.195,7.66833,7.66833
1554682904523,-0.317,6.214,7.553,-0.13075,-0.13075,6.19975,6.19975,7.6395,7.6395
1554682904729,-0.37,6.243,7.663,-0.1786,-0.1786,6.2084,6.2084,7.6442,7.6442
1554682904920,-0.398,6.278,7.639,-0.215167,-0.215167,6.22,6.22,7.64333,7.64333
1554682905137,-0.397,6.27,7.644,-0.241143,-0.241143,6.22714,6.22714,7.64343,7.64343
1554682905326,-0.332,6.343,7.531,-0.2525,-0.2525,6.24163,6.24163,7.62938,7.62938
1554682905527,-0.229,6.437,7.561,-0.249889,-0.249889,6.26333,6.26333,7.62178,7.62178
1554682905738,-0.29,6.913,7.714,-0.2539,-0.2539,6.3283,6.3283,7.631,7.631
1554682905940,-0.035,6.706,6.358,-0.234,-0.234,6.36264,6.36264,7.51527,7.51527
1554682906143,-0.022,6.692,6.976,-0.216333,-0.216333,6.39008,6.39008,7.47033,7.47033
1554682906345,-0.022,6.68,7.299,-0.201385,-0.201385,6.41238,6.41238,7.45715,7.45715
1554682906553,0.149,6.371,7.681,-0.176357,-0.176357,6.40943,6.40943,7.47314,7.47314
1554682906752,-0.394,6.282,7.512,-0.190867,-0.190867,6.40093,6.40093,7.47573,7.47573
1554682906956,-0.284,6.234,7.768,-0.196687,-0.196687,6.3905,6.3905,7.494,7.494
1554682907162,-0.452,6.284,7.529,-0.211706,-0.211706,6.38424,6.38424,7.49606,7.49606
1554682907362,-0.373,6.176,7.56,-0.220667,-0.220667,6.37267,6.37267,7.49961,7.49961
1554682907565,-0.31,6.158,7.804,-0.225368,-0.225368,6.36137,6.36137,7.51563,7.51563
1554682907769,-0.33,6.059,7.751,-0.2306,-0.2306,6.34625,6.34625,7.5274,7.5274
1554682907975,-0.324,6.067,7.744,-0.25155,-0.235048,6.3386,6.33295,7.5335,7.53771
1554682908177,-0.366,6.022,7.835,-0.26505,-0.241,6.3323,6.31882,7.53655,7.55123
1554682908383,-0.315,5.923,7.772,-0.27055,-0.244217,6.3176,6.30161,7.5447,7.56083
1554682908586,-0.367,5.946,7.893,-0.27305,-0.249333,6.3042,6.28679,7.5617,7.57467
1554682908789,-0.356,5.815,7.924,-0.27235,-0.2536,6.2828,6.26792,7.57475,7.58864
1554682908995,-0.409,5.804,7.981,-0.2729,-0.259577,6.2591,6.25008,7.59185,7.60373
1554682909198,-0.401,5.719,7.964,-0.2731,-0.264815,6.23155,6.23041,7.60785,7.61707
1554682909401,-0.357,5.668,8.027,-0.27435,-0.268107,6.1978,6.21032,7.63265,7.63171
1554682909605,-0.036,5.039,8.465,-0.2647,-0.260103,6.1279,6.16993,7.67785,7.66045
1554682909810,0.203,4.62,8.822,-0.24005,-0.244667,6.01325,6.11827,7.73325,7.69917
1554682910013,0.169,4.654,8.614,-0.22985,-0.231323,5.91065,6.07103,7.84605,7.72868
