Time,xAcceleration,yAcceleration,zAcceleration,xSMA(2.5 seconds),xSMA(10 seconds),ySMA(2.5 seconds),ySMA(10 seconds),zSMA(2.5 seconds),zSMA(10 seconds),minX(10 seconds),maxX(10 seconds),minY(10 seconds),maxY(10 seconds),minZ(10 seconds),maxZ(10 seconds)
1554706048651,1.848,2.887,8.913,1.848,1.848,2.887,2.887,8.913,8.913,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706048869,0.964,2.215,9.66,1.406,1.406,2.551,2.551,9.2865,9.2865,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706049061,1.273,1.568,9.456,1.36167,1.36167,2.22333,2.22333,9.343,9.343,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706049271,1.657,1.377,9.549,1.4355,1.4355,2.01175,2.01175,9.3945,9.3945,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706049467,2.381,2.182,9.114,1.6246,1.6246,2.0458,2.0458,9.3384,9.3384,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706049672,2.105,3.278,9.122,1.70467,1.70467,2.25117,2.25117,9.30233,9.30233,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706049876,2.585,2.839,8.716,1.83043,1.83043,2.33514,2.33514,9.21857,9.21857,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706050080,1.891,2.46,8.768,1.838,1.838,2.35075,2.35075,9.16225,9.16225,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706050285,1.724,1.184,9.819,1.82533,1.82533,2.22111,2.22111,9.23522,9.23522,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706050489,1.015,0.056,10.023,1.7443,1.7443,2.0046,2.0046,9.314,9.314,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706050692,0.849,0.588,9.302,1.66291,1.66291,1.87582,1.87582,9.31291,9.31291,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706050897,1.439,1.029,9.351,1.64425,1.64425,1.80525,1.80525,9.31608,9.31608,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706051101,2.64,4.448,7.795,1.72085,1.72085,2.00854,2.00854,9.19908,9.19908,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706051305,1.119,2.984,9.283,1.67786,1.67786,2.07821,2.07821,9.20507,9.20507,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706051509,0.325,-0.577,10.349,1.58767,1.58767,1.9012,1.9012,9.28133,9.28133,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706051717,0.561,-2.24,9.389,1.5235,1.5235,1.64238,1.64238,9.28806,9.28806,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706051917,0.036,-0.407,9.667,1.436,1.436,1.52182,1.52182,9.31035,9.31035,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706052121,0.556,-0.1,9.762,1.38711,1.38711,1.43172,1.43172,9.33544,9.33544,-1.181,2.64,-2.24,4.448,7.795,10.349
1554706052327,0.513,-0.169,9.702,1.34111,1.34111,1.34747,1.34747,9.35474,9.35474,-1.181,2.64,-2.24,4.448,7.795,10.349
